Vehicle,count in 2019
Chevy Volt,4915
Nissan Leaf,12365
Smart ED,680
Prius PHEV,23630
Tesla Model S,15090
Ford Fusion Energi,7476
Fiat 500E,632
Porsche Panamera S E-Hybrid,1958
BMW i3,4854
BMW i8,1102
VW e-Golf,4863
Porsche Cayenne S E-Hybrid,1140
Mercedes S550 Plug,371
Volvo-XC90 Plug In,1710
Tesla Model X,19425
BMW X5,167
Hyundai Sonata Plug In,456
Audi A3 Plug In,437
BMW 3-series Plug-In,705
Mercedes GLE 550e,1509
Mercedes C350We,2172
Chevy Bolt,16313
Kia Optima Plug-in,350
Hyundai Ioniq EV,739
Chrysler Pacifica Plug-in Hybrid,5811
BMW 5-Series Plug in,5442
MINI Countryman S E,494
Tesla Model 3,154840
Honda Clarity BEV,742
Volvo XC60 Plug In,1682
Volvo S90 Plug In,407
Honda Clarity Plug-in,10728
Mitsubishi Outlander Plug In,2810
Hyundai Ioniq Plug-In,1765
Kia Niro Plug In,4051
Mercedes GLC 350e Hybrid,2459
Jaguar I-Pace,2594
Hyundai Kona Electric,1721
Subaru Crosstrek Hybrid,880
Audi e-tron,5369
Kia Niro EV,1562
,
